shop,categorie,produit,prix,remise_norm,score_popularite
Lasolda,Maison,Fouet électrique Pour fair...,29.0,0.51,0.901
Lasolda,Ventes flash,Diffuseur d’Huiles Es...,499.0,0.0,0.1667
Lasolda,Ventes flash,Couscoussier Effet Pierre ...,549.0,0.0,0.3833
Lasolda,Ventes flash,Mini Machine à Laver Pliabl...,599.0,0.0,0.3
Lhmiza,Parfums,Tom Ford Lost Cherry Eau de Parfum 100 ml,5.2,0.12,0.8236
Lhmiza,Parfums,Baccarat Rouge 540 Extrait de Parfum Maison Francis Kurkdjian pour Hommes et Femmes 200 ml,9.5,0.17,0.8328
Lhmiza,Parfums,Baccarat Rouge 540 Extrait de Parfum Maison Francis Kurkdjian pour Hommes et Femmes 70 ml,6.2,0.16,0.8312
Lhmiza,Montres & Bijoux,Montre Femme Carrée NAVIFORCE NF5061,500.0,0.0,0.2214
