shop,platform,categorie,sous_categorie,marque,produit,prix,ancien_prix,remise_pct,stock,en_promo,rating,url_produit,stock_bin,promo_bin,prix_score,remise_norm,score_popularite,top_k,log_prix,segment_prix,shop_id,categorie_id,platform_id,cluster,cluster_nom,pca1,pca2,dbscan_label
BeautyMarket,Shopify,Cheveux,Huile Cheveux,,NATURESOIN HUILE DE CADE – 50 ML,46.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/naturesoin-huile-de-cade-50-ml,1,0,0.921,0.0,0.5302,1,3.8501476017100575,low-cost,0,5,0,4,Low-cost,-1.784208944336898,0.6201191037536119,0
BeautyMarket,Shopify,Solaire,Solaire,,ACNEWIN ECRAN FLUIDE INVISIBLE SPF50+ 50ML,135.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/acnewin-ecran-fluide-invisible-spf50-50ml,1,0,0.9208,0.0,0.5302,1,4.912654885736052,mid-range,0,18,0,0,Mid-range,-1.0273147138924923,-0.0151365282257938,0
BeautyMarket,Shopify,Solaire,Solaire,,MUSSVITAL FACIAL FLUID EMULSION SPF50+ ANTIAGING 50ML,135.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/mussvital-facial-fluid-emulsion-spf50-antiaging-50ml,1,0,0.9208,0.0,0.5302,1,4.912654885736052,mid-range,0,18,0,0,Mid-range,-1.0273147138924923,-0.0151365282257938,0
BeautyMarket,Shopify,Solaire,Solaire,,L'OREAL PARIS GLYCOLIC-BRIGHT ANTI-DARK SPOT DAILY UV FLUID SPF50 50ML = COFFRET GUASHA OFFERT,135.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/loreal-paris-glycolic-bright-anti-dark-spot-daily-uv-fluid-spf50-50ml,1,0,0.9208,0.0,0.5302,1,4.912654885736052,mid-range,0,18,0,0,Mid-range,-1.0273147138924923,-0.0151365282257938,0
BeautyMarket,Shopify,Cheveux,Huile Cheveux,,NATURESOIN HUILE À L’EXTRAIT DE FENUGREC – 50 ML,46.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/naturesoin-huile-a-l-extrait-de-fenugrec-50-ml,1,0,0.921,0.0,0.5302,1,3.8501476017100575,low-cost,0,5,0,4,Low-cost,-1.784208944336898,0.6201191037536119,0
BeautyMarket,Shopify,Corps,Huile Corps,,NIVEA DOUCHE DE SOIN PEACH & APRICOT SEED OIL 250 ML,69.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/nivea-douche-de-soin-peach-apricot-seed-oil-250-ml,1,0,0.9196,0.0,0.5299,1,4.248495242049359,low-cost,0,6,0,4,Low-cost,-1.5836245723735525,0.3578507218267208,0
BeautyMarket,Shopify,Corps,Hydratant Corps,,CERAVE SA CRÈME PIEDS RÉGÉNÉRANTE – 88 ML,69.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/cerave-sa-creme-pieds-regenerante-88-ml,1,0,0.9196,0.0,0.5299,1,4.248495242049359,low-cost,0,6,0,4,Low-cost,-1.5836245723735525,0.3578507218267208,0
BeautyMarket,Shopify,Corps,Hydratant Corps,,GILBERT COLD CREAM – 50 ML,69.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/gilbert-cold-cream-50-ml,1,0,0.9196,0.0,0.5299,1,4.248495242049359,low-cost,0,6,0,4,Low-cost,-1.5836245723735525,0.3578507218267208,0
BeautyMarket,Shopify,Corps,Gel Douche,,NIVEA MEN GEL DOUCHE VITALITY FRESH EFFECT 24H 250 ML,69.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/nivea-men-gel-douche-vitality-fresh-effect-24h-250-ml,1,0,0.9196,0.0,0.5299,1,4.248495242049359,low-cost,0,6,0,4,Low-cost,-1.5836245723735525,0.3578507218267208,0
BeautyMarket,Shopify,Corps,Huile Corps,,NIVEA GEL DOUCHE LEMONGRASS & OIL 250ML – FRAÎCHEUR TONIFIANTE & MICRO-HUILES NOURRISSANTES,69.0,0.0,,En stock,Non,0.0,https://beautymarket.ma/products/nivea-gel-douche-lemongrass-oil-250ml,1,0,0.9196,0.0,0.5299,1,4.248495242049359,low-cost,0,6,0,4,Low-cost,-1.5836245723735525,0.3578507218267208,0
