shop,platform,categorie,sous_categorie,marque,produit,prix,ancien_prix,remise_pct,stock,en_promo,rating,url_produit,stock_bin,promo_bin,prix_score,remise_norm,score_popularite,top_k,log_prix,segment_prix,shop_id,categorie_id,platform_id,cluster,cluster_nom,pca1,pca2,dbscan_label
Lasolda,WooCommerce,Maison,Maison,,Fouet électrique Pour fair...,29.0,59.0,51.0,En stock,Oui,0.0,,1,1,0.996,0.51,0.901,1,3.4011973816621555,low-cost,3,13,1,4,Low-cost,2.429316213214767,2.947313372370244,-1
Lasolda,WooCommerce,Ventes flash,Ventes flash,,Diffuseur d’Huiles Es...,499.0,0.0,,Épuisé,Non,0.0,,0,0,0.6667,0.0,0.1667,0,6.214608098422191,mid-range,3,21,1,3,Premium,1.220381696278298,-4.937054495647396,-1
Lasolda,WooCommerce,Ventes flash,Ventes flash,,Couscoussier Effet Pierre ...,549.0,0.0,,En stock,Non,0.0,,1,0,0.3333,0.0,0.3833,1,6.309918278226516,premium,3,21,1,0,Mid-range,0.43004303554205,-1.7701078390471263,-1
Lasolda,WooCommerce,Ventes flash,Ventes flash,,Mini Machine à Laver Pliabl...,599.0,0.0,,En stock,Non,0.0,,1,0,0.0,0.0,0.3,0,6.396929655216146,premium,3,21,1,0,Mid-range,0.2147278631416333,-2.146911128380404,-1
Lhmiza,WooCommerce,Parfums,Parfums,,Tom Ford Lost Cherry Eau de Parfum 100 ml,5.2,4.585,12.0,En stock,Oui,0.0,,1,1,0.9984,0.12,0.8236,1,1.824549292051046,low-cost,4,16,1,4,Low-cost,1.668198465094779,2.800677795523972,-1
Lhmiza,WooCommerce,Parfums,Parfums,,Baccarat Rouge 540 Extrait de Parfum Maison Francis Kurkdjian pour Hommes et Femmes 200 ml,9.5,7.885,17.0,En stock,Oui,0.0,,1,1,0.9953,0.17,0.8328,1,2.3513752571634776,low-cost,4,16,1,4,Low-cost,1.9703984235641263,2.5895956680199754,-1
Lhmiza,WooCommerce,Parfums,Parfums,,Baccarat Rouge 540 Extrait de Parfum Maison Francis Kurkdjian pour Hommes et Femmes 70 ml,6.2,5.185,16.0,En stock,Oui,0.0,,1,1,0.9969,0.16,0.8312,1,1.9740810260220096,low-cost,4,16,1,4,Low-cost,1.7876356604006949,2.8150274785491995,-1
Lhmiza,WooCommerce,Montres & Bijoux,Montres & Bijoux,,Montre Femme Carrée NAVIFORCE NF5061,500.0,350.0,,Épuisé,Non,0.0,,0,0,0.8857,0.0,0.2214,0,6.2166061010848646,mid-range,4,15,1,3,Premium,1.6646087192836014,-4.856291656577522,-1
